,Name,Cost,Protein (g),Calories,Fat (g),Servings,Preparation Time (m),Health Score,Gluten Free,Vegetarian,Dairy Free,name lower,Food Type,Meat Type
0,Butternut Squash Gnocchi With Whiskey Cream Sauce,0.696969696969697,0.13333333333333333,0.15820252385349337,0.07033639143730887,0.01694915254237288,0.061068702290076333,0.1746031746031746,False,False,False,butternut squash gnocchi with whiskey cream sauce,Grain/Pasta/Starch,Vegetarian
1,Oreo Cookies & Cream No-Bake Cheesecake,0.08333333333333333,0.01904761904761905,0.061865189289012,0.05504587155963303,0.15254237288135594,0.061068702290076333,0.0,False,True,False,oreo cookies & cream no-bake cheesecake,Dessert,Vegetarian
2,Philly Cheesesteak Grilled Wraps,0.6647727272727272,0.2571428571428571,0.12280701754385964,0.07033639143730887,0.01694915254237288,0.061068702290076333,0.5079365079365079,True,False,True,philly cheesesteak grilled wraps,Beef,Meat
3,Beef Tenderloin With Creamy Alouette® Mushroom Sauce,0.32196969696969696,0.10476190476190476,0.11018775007694676,0.10091743119266056,0.0,0.061068702290076333,0.1111111111111111,True,False,False,beef tenderloin with creamy alouette® mushroom sauce,Beef,Meat
4,Mussels & Clams in White Wine {Cozze e Vongole},0.46969696969696967,0.01904761904761905,0.0317020621729763,0.012232415902140673,0.01694915254237288,0.061068702290076333,0.2857142857142857,True,True,True,mussels & clams in white wine {cozze e vongole},Seafood,Meat
5,Creamy Shrimp Bisque,0.6306818181818181,0.2857142857142857,0.14835333948907356,0.0856269113149847,0.01694915254237288,0.061068702290076333,0.2698412698412698,False,False,False,creamy shrimp bisque,Seafood,Meat
6,Oven Roasted Tomato Sauce,0.2556818181818181,0.009523809523809525,0.04370575561711296,0.04281345565749235,0.01694915254237288,0.061068702290076333,0.1111111111111111,True,True,True,oven roasted tomato sauce,Veggies/Beans,Vegetarian
7,"Bacon & Potato Soup, Gluten & Dairy Free",0.365530303030303,0.19047619047619047,0.12219144352108341,0.05198776758409786,0.03389830508474576,0.061068702290076333,0.2698412698412698,False,False,True,"bacon & potato soup, gluten & dairy free",Pork,Meat
8,Cinnamon Twists,0.03787878787878787,0.047619047619047616,0.09541397353031703,0.045871559633027525,0.1016949152542373,0.061068702290076333,0.0,True,True,False,cinnamon twists,Dessert,Vegetarian
9,Healthy Mint Brownies,0.1875,0.047619047619047616,0.07017543859649122,0.03669724770642202,0.0847457627118644,0.061068702290076333,0.06349206349206349,False,False,False,healthy mint brownies,Dessert,Vegetarian
10,Simple Whole Wheat Crepes,0.0946969696969697,0.09523809523809523,0.08002462296091105,0.04281345565749235,0.01694915254237288,0.061068702290076333,0.031746031746031744,False,True,False,simple whole wheat crepes,Dessert,Vegetarian
11,Baked Tofu Cheesecake,0.10984848484848483,0.05714285714285714,0.05263157894736842,0.03058103975535168,0.0847457627118644,0.061068702290076333,0.031746031746031744,False,True,False,baked tofu cheesecake,Dessert,Vegetarian
12,Ginger-Lemon Panna Cotta with Brandied Berry Sauce,0.5378787878787878,0.047619047619047616,0.12311480455524777,0.07951070336391437,0.03389830508474576,0.061068702290076333,0.047619047619047616,True,False,False,ginger-lemon panna cotta with brandied berry sauce,Dessert,Vegetarian
13,Lemon and Honey Chicken,0.16098484848484848,0.0380952380952381,0.048322560787934746,0.039755351681957186,0.03389830508474576,0.061068702290076333,0.07936507936507936,True,False,True,lemon and honey chicken,Poultry,Meat
14,Apple Pie Bars,0.041666666666666664,0.01904761904761905,0.034164358264081256,0.0061162079510703364,0.1864406779661017,0.10687022900763359,0.015873015873015872,False,False,True,apple pie bars,Dessert,Vegetarian
15,Caramelized Onion Dip,0.2064393939393939,0.10476190476190476,0.024007386888273315,0.0,0.0,0.061068702290076333,0.07936507936507936,True,True,False,caramelized onion dip,Dessert,Vegetarian
16,"Watermelon Popsicles with Mint, Basil & Lime",0.03409090909090909,0.009523809523809525,0.003693444136657433,0.0,0.05084745762711865,0.061068702290076333,0.015873015873015872,True,True,True,"watermelon popsicles with mint, basil & lime",Dessert,Vegetarian
17,Healthy Vegan Red Velvet Brownies,0.07196969696969696,0.047619047619047616,0.052016004924592185,0.01529051987767584,0.05084745762711865,0.061068702290076333,0.1746031746031746,True,True,True,healthy vegan red velvet brownies,Dessert,Vegetarian
18,Enchiladas Verdes (Green Enchiladas),0.3181818181818182,0.2857142857142857,0.1329639889196676,0.06116207951070336,0.03389830508474576,0.061068702290076333,0.23809523809523808,False,False,False,enchiladas verdes (green enchiladas),Comfort,Vegetarian
19,Garlic & Spice Plantain Chips,0.030303030303030304,0.009523809523809525,0.023084025854108958,0.012232415902140673,0.05084745762711865,0.061068702290076333,0.047619047619047616,True,True,True,garlic & spice plantain chips,Grain/Pasta/Starch,Vegetarian
20,Easy Shrimp Scampi,0.5738636363636364,0.22857142857142856,0.08187134502923976,0.04892966360856269,0.01694915254237288,0.061068702290076333,0.07936507936507936,True,False,False,easy shrimp scampi,Seafood,Meat
21,Banana & Cream Cheese Stuffed French Toast,0.4564393939393939,0.4666666666666667,0.6048014773776547,0.1743119266055046,0.01694915254237288,0.061068702290076333,0.7142857142857143,False,True,False,banana & cream cheese stuffed french toast,Salad/Fruit,Vegetarian
22,How to Make Party Jollof Rice,0.22537878787878785,0.11428571428571428,0.15851031086488152,0.0061162079510703364,0.00847457627118644,0.061068702290076333,0.31746031746031744,True,True,True,how to make party jollof rice,Grain/Pasta/Starch,Vegetarian
23,Fat Free Gingerbread Cookies,0.05492424242424243,0.01904761904761905,0.040627885503231764,0.0,0.15254237288135594,0.061068702290076333,0.031746031746031744,False,True,True,fat free gingerbread cookies,Dessert,Vegetarian
24,"Watermelon, Feta And Mint Salad",0.356060606060606,0.06666666666666667,0.06709756848261003,0.05504587155963303,0.03389830508474576,0.061068702290076333,0.6031746031746031,True,True,False,"watermelon, feta and mint salad",Dessert,Vegetarian
25,Sun Dried Tomato Stuffed Mushrooms,0.1799242424242424,0.0761904761904762,0.03570329332102185,0.021406727828746176,0.05084745762711865,0.061068702290076333,0.2698412698412698,False,False,False,sun dried tomato stuffed mushrooms,Veggies/Beans,Vegetarian
26,Green Beans with Garlic Chips,0.1515151515151515,0.02857142857142857,0.050784856879039705,0.039755351681957186,0.01694915254237288,0.061068702290076333,0.09523809523809523,True,True,False,green beans with garlic chips,Veggies/Beans,Vegetarian
27,Alouette® Stuffed Mushroom Caps,0.2765151515151515,0.01904761904761905,0.007386888273314866,0.0030581039755351682,0.05084745762711865,0.061068702290076333,0.8412698412698413,False,False,True,alouette® stuffed mushroom caps,Veggies/Beans,Vegetarian
28,Chicken Cordon Bleu With Mushroom Sauce,0.7481060606060606,0.4,0.1600492459218221,0.09785932721712538,0.01694915254237288,0.061068702290076333,0.4603174603174603,False,False,False,chicken cordon bleu with mushroom sauce,Poultry,Meat
29,How to Make The Ultimate Slow Cooker Potato Soup,0.2916666666666667,0.11428571428571428,0.12219144352108341,0.06116207951070336,0.03389830508474576,0.3816793893129771,0.1746031746031746,False,False,False,how to make the ultimate slow cooker potato soup,Soup,Vegetarian
30,Molten Chocolate Liquor Cakes,0.17234848484848483,0.0380952380952381,0.11849799938442598,0.0764525993883792,0.03389830508474576,0.061068702290076333,0.015873015873015872,True,True,False,molten chocolate liquor cakes,Dessert,Vegetarian
31,How to Make the Cheesiest Bowtie Mac and Cheese,0.22537878787878785,0.2761904761904762,0.234533702677747,0.10703363914373089,0.01694915254237288,0.04580152671755725,0.19047619047619047,False,True,False,how to make the cheesiest bowtie mac and cheese,Comfort,Vegetarian
32,Gluten Free Onion Rings,0.1496212121212121,0.0761904761904762,0.10710987996306556,0.0581039755351682,0.01694915254237288,0.061068702290076333,0.031746031746031744,False,True,False,gluten free onion rings,Comfort,Vegetarian
33,Peppermint Patties,0.013257575757575758,0.0,0.02523853493382579,0.01834862385321101,0.4915254237288136,0.061068702290076333,0.0,True,False,False,peppermint patties,Dessert,Vegetarian
34,Chocolate nut spread,0.08333333333333333,0.02857142857142857,0.04401354262850108,0.03669724770642202,0.15254237288135594,0.061068702290076333,0.031746031746031744,True,False,True,chocolate nut spread,Dessert,Vegetarian
35,Raspberry Walnut Coffee Cake,0.16856060606060605,0.01904761904761905,0.05417051400430902,0.021406727828746176,0.03389830508474576,0.04580152671755725,0.015873015873015872,True,False,True,raspberry walnut coffee cake,Dessert,Vegetarian
36,Cheesy Potato Corn Scones,0.05681818181818182,0.0761904761904762,0.07232994767620807,0.03669724770642202,0.05084745762711865,0.061068702290076333,0.047619047619047616,False,True,False,cheesy potato corn scones,Dessert,Vegetarian
37,Scotch Egg,0.2102272727272727,0.26666666666666666,0.19267466912896275,0.07951070336391437,0.025423728813559324,0.061068702290076333,0.2222222222222222,False,False,True,scotch egg,Breakfast,Vegetarian
38,Easy Tomato Basil Chicken – One Pot Meal,0.2575757575757575,0.18095238095238095,0.12619267466912895,0.021406727828746176,0.03389830508474576,0.03816793893129771,0.3968253968253968,False,False,True,easy tomato basil chicken – one pot meal,Poultry,Meat
39,Gingerbread,0.06818181818181819,0.02857142857142857,0.061865189289012,0.0061162079510703364,0.1016949152542373,0.061068702290076333,0.031746031746031744,False,True,True,gingerbread,Grain/Pasta/Starch,Vegetarian
40,How to Make the Best Chicken Jambalaya,0.34469696969696967,0.24761904761904763,0.1348107109879963,0.06422018348623854,0.05084745762711865,0.07633587786259542,0.2222222222222222,True,False,False,how to make the best chicken jambalaya,Poultry,Meat
41,Authentic Mexican Wedding Cookies,0.01893939393939394,0.009523809523809525,0.02277623884272084,0.01529051987767584,0.3898305084745763,0.061068702290076333,0.0,False,True,False,authentic mexican wedding cookies,Dessert,Vegetarian
43,Homemade Strawberry Shake,0.12310606060606058,0.047619047619047616,0.048322560787934746,0.027522935779816515,0.03389830508474576,0.061068702290076333,0.09523809523809523,True,False,False,homemade strawberry shake,Dessert,Vegetarian
44,"Cannellini Bean Side Dish With Fennel, Red Onion, and Saffron",0.19696969696969696,0.047619047619047616,0.027393044013542627,0.0061162079510703364,0.03389830508474576,0.061068702290076333,0.015873015873015872,True,True,True,"cannellini bean side dish with fennel, red onion, and saffron",Veggies/Beans,Vegetarian
45,Pasta with Raw Tomato & Lemon Infused Olive Oil,0.10227272727272725,0.0,0.08187134502923976,0.09480122324159021,0.05084745762711865,0.061068702290076333,0.031746031746031744,True,True,False,pasta with raw tomato & lemon infused olive oil,Veggies/Beans,Vegetarian
46,Moroccan Couscous and Chickpea Salad,0.34659090909090906,0.13333333333333333,0.14558325638658048,0.0764525993883792,0.03389830508474576,0.061068702290076333,0.8888888888888888,False,True,True,moroccan couscous and chickpea salad,Veggies/Beans,Vegetarian
47,Asian Chickpea Lettuce Wraps,0.05303030303030303,0.009523809523809525,0.013850415512465374,0.009174311926605505,0.03389830508474576,0.061068702290076333,0.23809523809523808,True,True,True,asian chickpea lettuce wraps,Veggies/Beans,Vegetarian
48,Easy To Make Spring Rolls,0.3409090909090909,0.11428571428571428,0.04524469067405355,0.0061162079510703364,0.01694915254237288,0.061068702290076333,0.5079365079365079,True,False,True,easy to make spring rolls,Grain/Pasta/Starch,Vegetarian
49,Strawberry Shortcake w. Mini Strawberry PopTarts,0.3371212121212121,0.0380952380952381,0.0904893813481071,0.039755351681957186,0.01694915254237288,0.061068702290076333,0.15873015873015872,False,True,False,strawberry shortcake w. mini strawberry poptarts,Dessert,Vegetarian
50,Parmesan chicken nuggets,0.44886363636363635,0.22857142857142856,0.21514312096029548,0.18042813455657492,0.0,0.061068702290076333,0.4444444444444444,False,False,False,parmesan chicken nuggets,Poultry,Meat
51,Apple-Cheesecake Tart with Salted Caramel Glaze,0.1496212121212121,0.05714285714285714,0.08187134502923976,0.03058103975535168,0.05084745762711865,0.061068702290076333,0.015873015873015872,False,True,False,apple-cheesecake tart with salted caramel glaze,Dessert,Vegetarian
52,Brussel Sprouts in Bacon and Garlic Sauce,0.20265151515151517,0.05714285714285714,0.03508771929824561,0.021406727828746176,0.0,0.061068702290076333,0.20634920634920634,True,False,False,brussel sprouts in bacon and garlic sauce,Pork,Meat
53,Slow Cooker Kahlua Pork with Sweet Chili Pineapple Sauce,0.45265151515151514,0.5428571428571428,0.13450292397660818,0.05504587155963303,0.0847457627118644,1.0,0.47619047619047616,True,False,True,slow cooker kahlua pork with sweet chili pineapple sauce,Pork,Meat
54,Watermelon Jalapeño Cocktail Cooler,0.5454545454545454,0.047619047619047616,0.11295783317943983,0.0030581039755351682,0.03389830508474576,0.061068702290076333,0.20634920634920634,True,True,True,watermelon jalapeño cocktail cooler,Beverage,Vegetarian
55,Homemade Animal Crackers,0.06439393939393939,0.0380952380952381,0.09572176054170514,0.039755351681957186,0.05084745762711865,0.061068702290076333,0.031746031746031744,False,True,False,homemade animal crackers,Dessert,Vegetarian
56,Triple Citrus Cake,0.07575757575757576,0.02857142857142857,0.07510003077870114,0.03669724770642202,0.06779661016949153,0.061068702290076333,0.031746031746031744,False,True,True,triple citrus cake,Dessert,Vegetarian
57,No Oven Peanut Butter Squares,0.07765151515151515,0.0380952380952381,0.07202216066481995,0.04892966360856269,0.1864406779661017,0.061068702290076333,0.015873015873015872,False,False,False,no oven peanut butter squares,Dessert,Vegetarian
58,Pumpkin gnocchi with basil and Parmesan,0.13068181818181818,0.12380952380952381,0.12188365650969529,0.021406727828746176,0.03389830508474576,0.061068702290076333,0.4603174603174603,False,False,False,pumpkin gnocchi with basil and parmesan,Grain/Pasta/Starch,Vegetarian
59,Captain America Shield Cookies,0.19886363636363635,0.009523809523809525,0.05109264389042782,0.021406727828746176,0.0847457627118644,0.061068702290076333,0.015873015873015872,False,False,True,captain america shield cookies,Dessert,Vegetarian
60,Creamy Chicken Tikka Masala,0.4128787878787879,0.21904761904761905,0.17143736534318252,0.1529051987767584,0.01694915254237288,0.061068702290076333,0.14285714285714285,True,False,False,creamy chicken tikka masala,Poultry,Meat
61,"Blueberry, Chocolate & Cocao Superfood Pancakes - Gluten-Free/Paleo/Vegan",0.44507575757575757,0.11428571428571428,0.1680517082179132,0.06422018348623854,0.0,0.03816793893129771,0.3333333333333333,True,False,True,"blueberry, chocolate & cocao superfood pancakes - gluten-free/paleo/vegan",Dessert,Vegetarian
62,Meat rolls with prosciutto and sage,0.8295454545454545,0.34285714285714286,0.14312096029547552,0.09174311926605505,0.01694915254237288,0.061068702290076333,0.2698412698412698,True,False,False,meat rolls with prosciutto and sage,Pork,Meat
